,Year,Player,League
0,2023,Gunnar Henderson,AL
1,2023,Corbin Carroll,NL
2,2022,Julio Rodríguez,AL
3,2022,Michael Harris II,NL
4,2021,Randy Arozarena,AL
5,2021,Jonathan India,NL
6,2020,Kyle Lewis,AL
7,2020,Devin Williams,NL
8,2019,Yordan Álvarez,AL
9,2019,Pete Alonso,NL
10,2018,Shohei Ohtani,AL
11,2018,Ronald Acuna Jr.,NL
12,2017,Aaron Judge,AL
13,2017,Cody Bellinger,NL
14,2016,Michael Fulmer,AL
15,2016,Corey Seager,NL
16,2015,Carlos Correa,AL
17,2015,Kris Bryant,NL
18,2014,José Abreu,AL
19,2014,Jacob deGrom,NL
20,2013,Wil Myers,AL
21,2013,José Fernández,NL
22,2012,Mike Trout,AL
23,2012,Bryce Harper,NL
24,2011,Jeremy Hellickson,AL
25,2011,Craig Kimbrel,NL
26,2010,Neftalí Feliz,AL
27,2010,Buster Posey,NL
28,2009,Andrew Bailey,AL
29,2009,Chris Coghlan,NL
30,2008,Evan Longoria,AL
31,2008,Geovany Soto,NL
32,2007,Dustin Pedroia,AL
33,2007,Ryan Braun,NL
34,2006,Justin Verlander,AL
35,2006,Hanley Ramírez,NL
36,2005,Huston Street,AL
37,2005,Ryan Howard,NL
38,2004,Bobby Crosby,AL
39,2004,Jason Bay,NL
40,2003,Ángel Berroa,AL
41,2003,Dontrelle Willis,NL
42,2002,Eric Hinske,AL
43,2002,Jason Jennings,NL
44,2001,Ichiro Suzuki,AL
45,2001,Albert Pujols,NL
46,2000,Kazuhiro Sasaki,AL
47,2000,Rafael Furcal,NL
48,1999,Carlos Beltrán,AL
49,1999,Scott Williamson,NL
50,1998,Ben Grieve,AL
51,1998,Kerry Wood,NL
52,1997,Nomar Garciaparra,AL
53,1997,Scott Rolen,NL
54,1996,Derek Jeter,AL
55,1996,Todd Hollandsworth,NL
56,1995,Marty Cordova,AL
57,1995,Hideo Nomo,NL
58,1994,Bob Hamelin,AL
59,1994,Raúl Mondesí,NL
60,1993,Tim Salmon,AL
61,1993,Mike Piazza,NL
62,1992,Pat Listach,AL
63,1992,Eric Karros,NL
64,1991,Chuck Knoblauch,AL
65,1991,Jeff Bagwell,NL
66,1990,Sandy Alomar,AL
67,1990,David Justice,NL
68,1989,Gregg Olson,AL
69,1989,Jerome Walton,NL
70,1988,Walt Weiss,AL
71,1988,Chris Sabo,NL
72,1987,Mark McGwire,AL
73,1987,Benito Santiago,NL
74,1986,José Canseco,AL
75,1986,Todd Worrell,NL
76,1985,Ozzie Guillén,AL
77,1985,Vince Coleman,NL
78,1984,Alvin Davis,AL
79,1984,Dwight Gooden,NL
80,1983,Ron Kittle,AL
81,1983,Darryl Strawberry,NL
82,1982,Cal Ripken Jr.,AL
83,1982,Steve Sax,NL
84,1981,Dave Righetti,AL
85,1981,Fernando Valenzuela,NL
86,1980,Joe Charboneau,AL
87,1980,Steve Howe,NL
88,1979,John Castino,AL
89,1979,Alfredo Griffin,AL
90,1979,Rick Sutcliffe,NL
91,1978,Lou Whitaker,AL
92,1978,Bob Horner,NL
93,1977,Eddie Murray,AL
94,1977,Andre Dawson,NL
95,1976,Mark Fidrych,AL
96,1976,Butch Metzger,NL
97,1976,Pat Zachry,NL
98,1975,Fred Lynn,AL
99,1975,John Montefusco,NL
100,1974,Mike Hargrove,AL
101,1974,Bake McBride,NL
102,1973,Al Bumbry,AL
103,1973,Gary Matthews,NL
104,1972,Carlton Fisk,AL
105,1972,Jon Matlack,NL
106,1971,Chris Chambliss,AL
107,1971,Earl Williams,NL
108,1970,Thurman Munson,AL
109,1970,Carl Morton,NL
110,1969,Lou Piniella,AL
111,1969,Ted Sizemore,NL
112,1968,Stan Bahnsen,AL
113,1968,Johnny Bench,NL
114,1967,Rod Carew,AL
115,1967,Tom Seaver,NL
116,1966,Tommie Agee,AL
117,1966,Tommy Helms,NL
118,1965,Curt Blefary,AL
119,1965,Jim Lefebvre,NL
120,1964,Tony Oliva,AL
121,1964,Dick Allen,NL
122,1963,Gary Peters,AL
123,1963,Pete Rose,NL
124,1962,Tom Tresh,AL
125,1962,Ken Hubbs,NL
126,1961,Don Schwall,AL
127,1961,Billy Williams,NL
128,1960,Ron Hansen,AL
129,1960,Frank Howard,NL
130,1959,Bob Allison,AL
131,1959,Willie McCovey,NL
132,1958,Albie Pearson,AL
133,1958,Orlando Cepeda,NL
134,1957,Tony Kubek,AL
135,1957,Jack Sanford,NL
136,1956,Luis Aparicio,AL
137,1956,Frank Robinson,NL
138,1955,Herb Score,AL
139,1955,Bill Virdon,NL
140,1954,Bob Grim,AL
141,1954,Wally Moon,NL
142,1953,Harvey Kuenn,AL
143,1953,Jim Gilliam,NL
144,1952,Harry Byrd,AL
145,1952,Joe Black,NL
146,1951,Gil McDougald,AL
147,1951,Willie Mays,NL
148,1950,Walt Dropo,AL
149,1950,Sam Jethroe,NL
150,1949,Roy Sievers,AL
151,1949,Don Newcombe,NL
152,1948,Al Dark,ML
153,1947,Jackie Robinson,ML
