,Year,Player
0,2022,Nikola Jokić
1,2021,Nikola Jokić
2,2020,Giannis Antetokounmpo
3,2019,Giannis Antetokounmpo
4,2018,James Harden
5,2017,Russell Westbrook
6,2016,Stephen Curry
7,2015,Stephen Curry
8,2014,Kevin Durant
9,2013,LeBron James
10,2012,LeBron James
11,2011,Derrick Rose
12,2010,LeBron James
13,2009,LeBron James
14,2008,Kobe Bryant
15,2007,Dirk Nowitzki
16,2006,Steve Nash
17,2005,Steve Nash
18,2004,Kevin Garnett
19,2003,Tim Duncan
20,2002,Tim Duncan
21,2001,Allen Iverson
22,2000,Shaquille O'Neal
23,1999,Karl Malone
24,1998,Michael Jordan
25,1997,Karl Malone
26,1996,Michael Jordan
27,1995,David Robinson
28,1994,Hakeem Olajuwon
29,1993,Charles Barkley
30,1992,Michael Jordan
31,1991,Michael Jordan
32,1990,Magic Johnson
33,1989,Magic Johnson
34,1988,Michael Jordan
35,1987,Magic Johnson
36,1986,Larry Bird
37,1985,Larry Bird
38,1984,Larry Bird
39,1983,Moses Malone
40,1982,Moses Malone
41,1981,Julius Erving
42,1980,Kareem Abdul-Jabbar
43,1979,Moses Malone
44,1978,Bill Walton
45,1977,Kareem Abdul-Jabbar
46,1976,Kareem Abdul-Jabbar
47,1975,Bob McAdoo
48,1974,Kareem Abdul-Jabbar
49,1973,Dave Cowens
50,1972,Kareem Abdul-Jabbar
51,1971,Kareem Abdul-Jabbar
52,1970,Willis Reed
53,1969,Wes Unseld
54,1968,Wilt Chamberlain
55,1967,Wilt Chamberlain
56,1966,Wilt Chamberlain
57,1965,Bill Russell
58,1964,Oscar Robertson
59,1963,Bill Russell
60,1962,Bill Russell
61,1961,Bill Russell
62,1960,Wilt Chamberlain
63,1959,Bob Pettit
64,1958,Bill Russell
65,1957,Bob Cousy
66,1956,Bob Pettit
