,0
0,WP: Vinnie Chulk (4-2) • LP: Renyel Pinto (2-4)
1,WP: Jack Taschner (2-0) • LP: Kevin Gregg (0-4)
2,WP: Arthur Rhodes (4-1) • LP: Ryan Franklin (5-6) • SV: Matt Lindstrom (1)
3,WP: Todd Wellemeyer (12-6) • LP: Scott Olsen (6-10) • SV: Ryan Franklin (15)
4,WP: Matt Palmer (8-1) • LP: Nick Blackburn (8-5)
5,WP: Chris Volstad (8-9) • LP: Jason Schmidt (1-1)
6,WP: Chris Carpenter (14-3) • LP: Kevin Correia (8-10)
7,WP: Barry Zito (3-0) • LP: Adam Wainwright (3-1) • SV: Brian Wilson (4)
8,WP: Sam Demel (2-1) • LP: Jonathan Broxton (5-6) • SV: J.C. Gutierrez (14)
9,WP: Matt Cain (2-0) • LP: C.J. Wilson (1-2)
10,WP: Jeremy Affeldt (1-1) • LP: Brett Myers (0-4)
11,WP: Edinson Volquez (10-10) • LP: Adam Wainwright (13-13) • SV: Luke Gregerson (6)
12,WP: Edward Mujica (1-0) • LP: Madison Bumgarner (0-2) • SV: Jason Motte (2)
13,WP: Lance Lynn (7-1) • LP: Chris Capuano (1-3)
14,WP: Felix Doubront (9-6) • LP: Barry Zito (4-9)
15,WP: Hyun Jin Ryu (13-5) • LP: Eric Stults (8-12)
16,WP: Brian Wilson (1-2) • LP: Adam Wainwright (10-4) • SV: Kenley Jansen (24)
17,WP: Scott Kazmir (10-3) • LP: Mark Buehrle (10-6)
18,WP: A.J. Burnett (6-8) • LP: Jordan Zimmermann (6-5)
19,WP: David Robertson (1-2) • LP: Aroldis Chapman (0-3)
20,WP: Hyun Jin Ryu (13-5) • LP: C.J. Wilson (8-8)
21,WP: Matt Shoemaker (14-4) • LP: Scott Kazmir (14-7)
22,WP: Danny Duffy (1-0) • LP: Fernando Salas (0-1) • SV: Greg Holland (1)
23,WP: Mike Bolsinger (3-0) • LP: Ian Kennedy (2-4) • SV: Kenley Jansen (3)
24,WP: Clayton Kershaw (5-3) • LP: Jaime Garcia (1-3) • SV: Kenley Jansen (6)
25,WP: Chris Heston (7-5) • LP: Mike Bolsinger (4-2) • SV: Santiago Casilla (19)
26,WP: Michael Wacha (15-4) • LP: Colin Rea (2-1)
27,WP: Lance Lynn (11-8) • LP: Ryan Vogelsong (9-10)
28,WP: Tyler Anderson (2-3) • LP: Drew Smyly (2-11) • SV: Carlos Estevez (6)
29,WP: Zach Davies (7-4) • LP: John Lackey (7-7)
30,WP: David Robertson (1-2) • LP: Justin Wilson (2-3)
31,WP: David Robertson (2-2) • LP: Bruce Rondon (3-2)
32,WP: Lucas Harrell (2-2) • LP: Ervin Santana (3-9) • SV: Jim Johnson (3)
33,WP: Jon Lester (11-4) • LP: Hisashi Iwakuma (11-7)
34,WP: Mike Foltynewicz (5-5) • LP: Adam Wainwright (9-6) • SV: Jim Johnson (8)
35,WP: Dan Straily (11-7) • LP: Jaime Garcia (10-11)
36,WP: Jared Hughes (1-1) • LP: Matt Garza (5-8) • SV: Tony Watson (14)
37,WP: Dillon Gee (8-9) • LP: Matthew Boyd (6-5) • SV: Wade Davis (26)
38,WP: Carlos Martinez (4-4) • LP: Ross Stripling (0-3) • SV: Seunghwan Oh (12)
39,WP: Adam Wainwright (6-3) • LP: Brandon McCarthy (5-2) • SV: Seunghwan Oh (13)
40,WP: Pedro Strop (2-2) • LP: Matt Bowman (1-2) • SV: Koji Uehara (2)
41,WP: Wade LeBlanc (4-2) • LP: Brett Cecil (1-3)
42,WP: Scott Alexander (2-3) • LP: David Holmberg (1-3)
43,WP: David Robertson (5-2) • LP: Zach McAllister (1-1) • SV: Aroldis Chapman (14)
44,WP: Sonny Gray (10-11) • LP: Joe Biagini (3-12)
45,WP: John Lackey (12-11) • LP: Michael Wacha (12-9)
46,WP: Michael Wacha (1-1) • LP: Zack Greinke (0-1) • SV: Bud Norris (1)
47,WP: Yoshihisa Hirano (1-0) • LP: Dominic Leone (0-2) • SV: Brad Boxberger (4)
48,WP: Mike Wright Jr. (1-0) • LP: Peter Moylan (0-1)
49,WP: Brett Graves (1-1) • LP: Kelvin Herrera (2-2)
50,WP: Javy Guerra (1-0) • LP: Jacob Rhame (0-2)
51,WP: Andrew Kittredge (3-2) • LP: Mike Fiers (12-7) • SV: Sergio Romo (21)
52,WP: Mike Minor (3-2) • LP: Mike Leake (2-3)
53,WP: Jon Lester (9-6) • LP: Jordan Lyles (5-6)
54,WP: Austin Voth (2-1) • LP: Nick Goody (3-2)
55,WP: Wily Peralta (2-1) • LP: Kolby Allard (2-5)
56,WP: Bryan Abreu (3-3) • LP: J.B. Wendelken (1-1) • SV: Ryan Pressly (15)
57,WP: Logan Webb (4-1) • LP: Steven Matz (3-2)
58,WP: Trevor May (1-0) • LP: Aaron Loup (0-1) • SV: Dany Jiménez (1)
59,WP: Aaron Bummer (2-1) • LP: Tayler Saucedo (2-1) • SV: Jesse Scholtens (1)
60,WP: Marcus Stroman (10-6) • LP: James Paxton (5-2)
61,WP: Seth Lugo (6-6) • LP: Alex Cobb (7-6)
