,Team,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Date
"Jordan Hicks, H (1)",St. Louis Cardinals,1,0,1,0,2,0,0,0.00,6,19,10,6,1,3,3,1,1,0,,0,0,0.008,1.93,0.00%,1.77,-0.5,4/7/2018
"Bud Norris, S (1)",St. Louis Cardinals,1,1,0,0,0,3,0,0.00,4,17,13,6,1,6,0,1,1,0,,0,0,0.069,1.00,0.04%,0.92,0.5,4/7/2018
St. Louis Cardinals Totals,St. Louis Cardinals,9,5,3,2,7,12,0,2.00,39,153,88,45,11,32,11,9,5,0,51,0,0,0.169,1.23,0.09%,1.13,1.2,4/7/2018
Luke Weaver,St. Louis Cardinals,6.1,3,1,1,1,7,0,1.59,22,97,60,26,13,21,7,7,2,0,69,,,0.345,1.01,0.20%,0.96,2.8,4/8/2018
"Tyler Lyons, H (2)",St. Louis Cardinals,0.1,0,0,0,0,1,0,5.40,1,6,3,0,0,3,0,0,0,0,,1,0,0.035,2.40,0.02%,2.27,0.2,4/8/2018
"Matt Bowman, BS (1)",St. Louis Cardinals,0.1,1,0,0,1,0,0,5.06,3,15,8,4,2,2,1,1,1,0,,1,1,-0.148,2.94,-0.08%,2.79,-0.7,4/8/2018
"Dominic Leone, L (0-2)",St. Louis Cardinals,0,2,2,2,0,0,1,7.71,2,8,6,5,0,1,0,2,2,0,,0,0,-0.374,2.34,-0.21%,2.23,-2.0,4/8/2018
Mike Mayers,St. Louis Cardinals,1,1,1,1,0,0,1,4.50,4,16,9,7,1,1,1,3,1,0,,0,0,-0.049,0.29,-0.03%,0.28,-0.5,4/8/2018
John Brebbia,St. Louis Cardinals,1,0,0,0,0,1,0,0.00,3,15,9,2,1,6,2,0,0,0,,0,0,0.007,0.09,0.00%,0.08,0.5,4/8/2018
St. Louis Cardinals Totals,St. Louis Cardinals,9,7,4,4,2,9,2,4.00,35,157,95,44,17,34,11,13,6,0,69,2,1,-0.184,1.16,-0.10%,1.11,0.2,4/8/2018
Sean Newcomb,Atlanta Braves,7,5,1,1,2,3,1,2.59,25,,,,,,,,,,64,,,0.228,0.94,0.19%,1.31,2.4,6/22/2018
A.J. Minter,Atlanta Braves,1,1,0,0,0,1,0,3.30,3,,,,,,,,,,,0,0,0.105,2.37,0.09%,3.31,0.5,6/22/2018
"Dan Winkler, BS (1)",Atlanta Braves,0.1,3,4,4,1,1,0,2.73,5,,,,,,,,,,,0,0,-0.647,3.76,-0.54%,5.26,-2.9,6/22/2018
Sam Freeman,Atlanta Braves,0.1,3,2,2,0,0,0,4.50,4,,,,,,,,,,,2,2,-0.266,1.48,-0.22%,2.08,-2.9,6/22/2018
Luke Jackson,Atlanta Braves,0.1,0,0,0,0,0,0,4.05,1,,,,,,,,,,,1,0,0.003,0.07,0.00%,0.09,0.3,6/22/2018
Shane Carle,Atlanta Braves,2,0,0,0,1,3,0,2.09,7,,,,,,,,,,,0,0,0.270,2.88,0.23%,4.03,1.0,6/22/2018
Jesse Biddle,Atlanta Braves,3,0,0,0,0,3,0,2.73,9,,,,,,,,,,,0,0,0.404,1.79,0.34%,2.51,1.5,6/22/2018
"Peter Moylan, L (0-1)",Atlanta Braves,1,3,3,3,1,0,1,4.88,8,,,,,,,,,,,0,0,-0.461,1.36,-0.39%,1.90,-2.5,6/22/2018
Atlanta Braves Totals,Atlanta Braves,15,15,10,10,5,11,2,6.00,62,,,,,,,,,,64,3,2,-0.364,1.66,-0.31%,2.32,-2.7,6/22/2018
Trevor Richards,Miami Marlins,6,3,0,0,2,8,0,4.06,21,91,54,26,10,18,7,4,3,0,72,,,0.350,1.20,0.00%,0.01,2.7,7/28/2018
"Adam Conley, H (9)",Miami Marlins,0.2,0,0,0,1,0,0,3.49,3,10,5,2,1,2,2,0,0,0,,0,0,0.048,1.25,0.00%,0.01,0.2,7/28/2018
"Brad Ziegler, H (11)",Miami Marlins,0.1,0,0,0,0,0,0,4.06,1,1,1,1,0,0,1,0,0,0,,1,0,0.044,1.61,0.00%,0.01,0.2,7/28/2018
"Drew Steckenrider, H (16)",Miami Marlins,1,0,0,0,0,0,0,3.33,3,22,14,8,2,4,1,2,0,0,,0,0,0.115,1.56,0.00%,0.01,0.5,7/28/2018
"Kyle Barraclough, BS (5)",Miami Marlins,1,2,1,1,0,0,0,2.54,6,27,15,12,2,1,4,1,0,0,,0,0,-0.221,4.91,-0.00%,0.04,-0.5,7/28/2018
"Brett Graves, W (1-1)",Miami Marlins,1,0,0,0,0,1,0,7.84,3,11,7,2,2,3,1,1,0,0,,0,0,0.128,1.74,0.00%,0.01,0.5,7/28/2018
Miami Marlins Totals,Miami Marlins,10,5,1,1,3,9,0,0.90,37,162,96,51,17,28,16,8,3,0,72,1,0,0.464,1.92,0.00%,0.02,3.5,7/28/2018
Dan Straily,Miami Marlins,4.2,4,3,3,4,5,0,4.42,22,,,,,,,,,,45,,,-0.153,0.98,0.00%,0.00,-1.1,8/11/2018
Jarlín García,Miami Marlins,0.1,0,0,0,0,0,0,4.37,1,,,,,,,,,,,2,0,0.044,1.76,0.00%,0.00,0.4,8/11/2018
Elieser Hernández,Miami Marlins,1,1,0,0,0,0,0,5.68,4,,,,,,,,,,,0,0,0.072,1.33,0.00%,0.00,0.5,8/11/2018
Tayron Guerrero,Miami Marlins,1,0,0,0,0,0,0,4.00,3,,,,,,,,,,,0,0,0.084,1.14,0.00%,0.00,0.5,8/11/2018
Adam Conley,Miami Marlins,1,0,0,0,1,1,0,3.24,3,,,,,,,,,,,0,0,0.101,1.89,0.00%,0.00,0.5,8/11/2018
Drew Steckenrider,Miami Marlins,1,0,0,0,0,3,0,3.35,3,,,,,,,,,,,0,0,0.128,1.74,0.00%,0.00,0.5,8/11/2018
Drew Rucinski,Miami Marlins,1,1,0,0,1,0,0,2.84,5,,,,,,,,,,,0,0,0.128,2.64,0.00%,0.00,0.5,8/11/2018
"Javy Guerra, W (1-0)",Miami Marlins,1,0,0,0,0,0,0,5.94,3,,,,,,,,,,,0,0,0.128,1.74,0.00%,0.00,0.5,8/11/2018
Miami Marlins Totals,Miami Marlins,11,6,3,3,6,9,0,2.45,44,,,,,,,,,,45,2,0,0.532,1.38,0.00%,0.00,2.0,8/11/2018
Diego Castillo,Tampa Bay Rays,1,0,0,0,0,2,0,3.24,3,13,11,5,3,3,1,0,0,0,55,,,0.048,0.63,0.00%,0.02,0.5,9/16/2018
"Andrew Kittredge, W (3-2)",Tampa Bay Rays,2,0,0,0,1,1,0,6.37,6,25,16,9,2,5,2,2,2,0,,0,0,0.101,0.81,0.00%,0.02,1.0,9/16/2018
"Hunter Wood, H (3)",Tampa Bay Rays,2,1,0,0,0,0,0,3.82,7,29,19,16,0,3,3,4,2,0,,0,0,0.102,0.83,0.00%,0.02,1.0,9/16/2018
"Jaime Schultz, H (3)",Tampa Bay Rays,2,0,0,0,0,1,0,3.49,6,24,14,8,3,3,0,5,0,0,,0,0,0.093,0.61,0.00%,0.02,1.0,9/16/2018
Adam Kolarek,Tampa Bay Rays,1,2,0,0,0,0,0,4.20,4,16,11,5,1,5,3,1,1,0,,0,0,0.012,0.26,0.00%,0.01,0.5,9/16/2018
Jake Faria,Tampa Bay Rays,0,0,3,3,3,0,0,5.34,3,16,4,2,0,2,0,0,0,0,,0,0,-0.065,0.44,-0.00%,0.01,-1.8,9/16/2018
"José Alvarado, H (30)",Tampa Bay Rays,0.1,0,0,0,0,1,0,2.09,1,5,3,1,2,0,0,0,0,0,,3,0,0.037,1.71,0.00%,0.05,0.8,9/16/2018
"Sergio Romo, S (21)",Tampa Bay Rays,0.2,1,1,1,0,1,1,3.36,3,7,5,2,1,2,0,2,0,0,,3,3,0.034,1.52,0.00%,0.04,-2.4,9/16/2018
Tampa Bay Rays Totals,Tampa Bay Rays,9,4,4,4,4,6,1,4.00,33,135,83,48,12,23,9,14,5,0,55,6,3,0.362,0.76,0.01%,0.02,0.5,9/16/2018
"Mike Leake, L (2-3)",Seattle Mariners,5,10,9,5,1,4,2,4.98,28,98,64,36,9,19,12,11,4,0,22,,,-0.459,0.46,-0.38%,0.65,-6.4,4/27/2019
Mike Wright Jr.,Seattle Mariners,2,3,1,1,2,3,0,8.80,12,58,32,15,8,9,2,4,3,0,,0,0,-0.002,0.02,-0.00%,0.03,0.0,4/27/2019
Chasen Bradford,Seattle Mariners,1,2,1,1,0,0,1,3.86,5,22,16,14,0,2,2,3,1,0,,0,0,0.000,0.00,0.00%,0.00,-0.5,4/27/2019
Dylan Moore,Seattle Mariners,1,5,4,4,2,0,0,36.00,10,35,20,15,1,4,3,5,3,0,,0,0,0.000,0.00,0.00%,0.00,-3.5,4/27/2019
Seattle Mariners Totals,Seattle Mariners,9,20,15,11,5,7,3,11.00,55,213,132,80,18,34,19,23,11,0,22,0,0,-0.461,0.23,-0.39%,0.33,-10.3,4/27/2019
"Jon Lester, W (9-6)",Chicago Cubs,6.2,8,3,3,0,6,2,3.74,28,98,62,40,4,18,10,12,6,0,52,,,0.084,0.26,0.09%,0.47,0.2,7/13/2019
Brandon Kintzler,Chicago Cubs,0.1,0,0,0,0,0,0,1.96,1,6,3,2,1,0,1,0,0,0,,2,0,0.005,0.18,0.01%,0.32,0.5,7/13/2019
Randy Rosario,Chicago Cubs,1.1,3,1,1,0,1,1,5.23,7,23,13,10,2,1,2,4,2,0,,0,0,0.002,0.12,0.00%,0.22,-0.5,7/13/2019
Steve Cishek,Chicago Cubs,0.2,0,0,0,0,0,0,2.68,1,2,2,2,0,0,1,0,0,0,,1,0,0.002,0.09,0.00%,0.16,0.5,7/13/2019
Chicago Cubs Totals,Chicago Cubs,9,11,4,4,0,7,3,4.00,37,129,80,54,7,19,14,16,8,0,52,3,0,0.093,0.23,0.10%,0.41,0.8,7/13/2019
"Austin Voth, W (2-1)",Washington Nationals,6,2,2,2,0,5,0,3.30,20,73,43,21,10,12,5,10,4,0,65,,,0.160,0.90,0.02%,0.18,1.2,9/27/2019
Hunter Strickland,Washington Nationals,1,1,0,0,0,1,0,5.55,4,14,13,6,6,1,1,2,2,0,,0,0,0.019,0.26,0.00%,0.05,0.5,9/27/2019
Wander Suero,Washington Nationals,1,0,0,0,0,1,0,4.58,3,16,10,4,3,3,2,0,0,0,,0,0,0.014,0.18,0.00%,0.03,0.5,9/27/2019
Tanner Rainey,Washington Nationals,1,0,0,0,0,1,0,3.91,3,8,7,3,1,3,2,0,0,0,,0,0,0.003,0.04,0.00%,0.01,0.5,9/27/2019
Washington Nationals Totals,Washington Nationals,9,3,2,2,0,8,0,2.00,30,111,73,34,20,19,10,12,6,0,65,0,0,0.196,0.65,0.02%,0.13,2.9,9/27/2019
"Kolby Allard, L (2-5)",Texas Rangers,5.1,5,5,2,2,9,0,3.45,25,90,62,29,11,22,5,8,3,0,51,,,-0.096,1.28,-0.00%,0.02,-1.1,7/5/2021
Brett Martin,Texas Rangers,0.2,1,1,1,0,0,1,2.73,3,7,6,5,1,0,2,1,0,0,,2,2,-0.072,0.46,-0.00%,0.01,-1.8,7/5/2021
Dennis Santana,Texas Rangers,1.2,2,1,1,1,0,0,5.60,8,34,22,17,1,4,1,6,3,0,,0,0,-0.001,0.04,0.00%,0.00,-0.4,7/5/2021
Taylor Hearn,Texas Rangers,1.1,0,0,0,0,1,0,5.22,5,22,16,9,3,4,3,1,0,0,,2,0,0.001,0.01,0.00%,0.00,1.0,7/5/2021
Texas Rangers Totals,Texas Rangers,9,8,7,3,3,10,1,3.00,41,153,106,60,16,30,11,16,6,0,51,4,2,-0.168,0.82,-0.00%,0.01,-2.3,7/5/2021
Framber Valdez,Houston Astros,5,10,6,5,2,6,0,2.86,25,,,,,,,,,,29,,,-0.370,0.87,-0.38%,1.50,-3.4,7/6/2021
"Bryan Abreu, W (3-3)",Houston Astros,2,1,0,0,0,2,0,3.90,7,,,,,,,,,,,0,0,0.126,1.09,0.13%,1.90,1.1,7/6/2021
"Ryne Stanek, H (10)",Houston Astros,1,0,0,0,0,1,0,4.21,3,,,,,,,,,,,0,0,0.045,0.58,0.05%,1.01,0.5,7/6/2021
"Ryan Pressly, S (15)",Houston Astros,1,0,0,0,0,1,0,1.50,3,,,,,,,,,,,0,0,0.035,0.45,0.04%,0.78,0.5,7/6/2021
Houston Astros Totals,Houston Astros,9,11,6,5,2,10,0,5.00,38,,,,,,,,,,29,0,0,-0.164,0.85,-0.17%,1.48,-1.3,7/6/2021
"Logan Webb, W (4-1)",San Francisco Giants,5,8,4,4,2,7,0,3.82,24,84,56,26,12,18,7,8,7,0,40,,,-0.148,0.88,-0.08%,0.83,-1.6,5/7/2022
Dominic Leone,San Francisco Giants,1,1,0,0,0,2,0,2.25,4,16,12,6,4,2,2,0,0,0,,0,0,0.019,0.48,0.01%,0.46,0.5,5/7/2022
Zack Littell,San Francisco Giants,1,4,3,3,0,1,1,4.00,7,28,17,8,5,4,2,4,2,0,,0,0,-0.079,0.65,-0.04%,0.62,-2.5,5/7/2022
"Tyler Rogers, H (7)",San Francisco Giants,1,1,0,0,0,0,0,2.31,4,12,10,6,0,4,1,3,1,0,,0,0,0.041,0.58,0.02%,0.55,0.5,5/7/2022
Jarlín García,San Francisco Giants,1,0,0,0,1,0,0,0.00,4,19,10,6,2,2,0,3,0,0,,0,0,0.002,0.07,0.00%,0.07,0.5,5/7/2022
San Francisco Giants Totals,San Francisco Giants,9,14,7,7,3,10,1,7.00,43,159,105,52,23,30,12,18,10,0,40,0,0,-0.165,0.70,-0.09%,0.67,-2.7,5/7/2022
Kyle Muller,Oakland Athletics,5,4,1,1,1,3,0,1.80,19,72,44,31,5,8,8,7,4,0,57,,,0.112,1.22,0.07%,1.22,1.3,3/30/2023
Zach Jackson,Oakland Athletics,1,0,0,0,1,1,0,0.00,4,19,7,2,2,3,0,2,0,0,,0,0,0.052,0.74,0.03%,0.74,0.5,3/30/2023
Domingo Acevedo,Oakland Athletics,1,0,0,0,0,2,0,0.00,3,20,16,13,2,1,1,0,0,0,,0,0,0.052,0.70,0.03%,0.70,0.5,3/30/2023
"Trevor May, W (1-0)",Oakland Athletics,1,1,0,0,1,1,0,0.00,5,17,11,5,2,4,1,2,1,0,,0,0,0.048,1.13,0.03%,1.12,0.5,3/30/2023
"Dany Jiménez, S (1)",Oakland Athletics,1,0,0,0,1,1,0,0.00,4,27,16,8,4,4,0,2,0,0,,0,0,0.155,2.86,0.09%,2.85,0.5,3/30/2023
Oakland Athletics Totals,Oakland Athletics,9,5,1,1,4,8,0,1.00,35,155,94,59,15,20,10,13,5,0,57,0,0,0.419,1.29,0.25%,1.28,3.2,3/30/2023
Logan Gilbert,Seattle Mariners,5.1,6,2,2,3,3,1,4.31,24,80,49,31,9,9,9,9,4,0,48,,,0.010,1.27,0.00%,0.83,0.2,6/17/2023
"Matt Brash, H (6)",Seattle Mariners,0.2,0,0,0,0,1,0,4.08,2,8,5,1,3,1,0,1,0,0,,1,0,0.110,1.98,0.04%,1.29,0.7,6/17/2023
"Justin Topa, H (12)",Seattle Mariners,1,2,0,0,0,0,0,3.29,4,16,12,10,0,2,3,1,1,0,,0,0,0.095,2.28,0.04%,1.49,0.5,6/17/2023
"Andrés Muñoz, H (5)",Seattle Mariners,1,0,0,0,1,2,0,0.00,4,24,14,7,4,3,1,0,0,0,,0,0,0.119,1.69,0.05%,1.11,0.5,6/17/2023
"Paul Sewald, BS (2)",Seattle Mariners,1,2,1,1,1,1,0,2.76,6,19,13,6,4,3,1,3,2,0,,0,0,-0.207,4.42,-0.08%,2.90,-0.5,6/17/2023
Gabe Speier,Seattle Mariners,1,0,0,0,0,2,0,2.19,3,11,8,3,5,0,1,0,0,0,,0,0,0.308,4.06,0.12%,2.66,1.1,6/17/2023
"Tayler Saucedo, L (2-1)",Seattle Mariners,0.2,2,1,0,0,0,0,3.12,4,9,7,7,0,0,1,3,2,0,,0,0,-0.132,3.79,-0.05%,2.48,-0.4,6/17/2023
Ty Adcock,Seattle Mariners,0.1,0,0,0,0,1,0,0.00,1,3,3,0,3,0,0,0,0,0,,2,0,0.071,2.91,0.03%,1.91,0.5,6/17/2023
Seattle Mariners Totals,Seattle Mariners,11,12,4,3,5,10,1,2.45,48,170,111,65,28,18,16,17,9,0,48,3,0,0.374,2.23,0.15%,1.46,2.6,6/17/2023
"Marcus Stroman, W (10-6)",Chicago Cubs,6,3,1,1,1,3,0,2.88,21,91,54,33,3,18,8,9,2,0,64,,,0.176,0.64,0.04%,0.22,2.3,7/15/2023
Julian Merryweather,Chicago Cubs,1,2,2,2,0,2,1,3.72,5,20,16,8,6,2,0,3,0,0,,0,0,-0.006,0.16,-0.00%,0.05,-1.5,7/15/2023
Michael Fulmer,Chicago Cubs,1,0,1,1,2,1,0,4.61,5,22,12,4,3,5,2,0,0,0,,0,0,0.002,0.20,0.00%,0.07,-0.5,7/15/2023
Daniel Palencia,Chicago Cubs,1,1,0,0,0,1,0,0.00,4,15,10,7,2,1,1,2,2,0,,0,0,0.003,0.03,0.00%,0.01,0.5,7/15/2023
Chicago Cubs Totals,Chicago Cubs,9,6,4,4,3,7,1,4.00,35,148,92,52,14,26,11,14,4,0,64,0,0,0.175,0.43,0.04%,0.15,0.9,7/15/2023
"Seth Lugo, W (6-6)",San Diego Padres,6,3,0,0,1,4,0,3.49,22,89,55,31,6,18,7,10,2,0,69,,,0.234,0.64,0.00%,0.02,3.0,9/3/2023
Nick Martínez,San Diego Padres,1,1,0,0,0,1,0,3.91,5,18,12,5,2,5,1,2,0,0,,0,0,0.028,0.50,0.00%,0.01,0.5,9/3/2023
Scott Barlow,San Diego Padres,1,0,0,0,1,1,0,4.95,4,20,11,5,2,4,0,2,0,0,,0,0,0.023,0.31,0.00%,0.01,0.5,9/3/2023
Josh Hader,San Diego Padres,1,0,0,0,1,3,0,1.13,4,22,12,4,3,5,0,0,0,0,,0,0,0.014,0.19,0.00%,0.00,0.5,9/3/2023
San Diego Padres Totals,San Diego Padres,9,4,0,0,3,9,0,0.00,35,149,90,45,13,32,8,14,2,0,69,0,0,0.299,0.53,0.00%,0.01,4.5,9/3/2023
"Steven Matz, W (1-0)",St. Louis Cardinals,5,4,0,0,1,3,0,1.74,19,85,56,38,9,9,8,7,2,0,61,,,0.280,1.25,0.16%,1.16,2.6,4/6/2024
"Giovanny Gallegos, H (2)",St. Louis Cardinals,1,0,0,0,0,0,0,1.80,3,20,15,11,1,3,2,1,0,0,,0,0,0.050,0.64,0.03%,0.60,0.5,4/6/2024
"JoJo Romero, H (3)",St. Louis Cardinals,1,1,0,0,0,1,0,1.80,4,16,12,6,2,4,1,2,0,0,,0,0,0.049,1.16,0.03%,1.08,0.5,4/6/2024
"Andrew Kittredge, H (4)",St. Louis Cardinals,1,2,1,1,0,1,0,2.45,4,13,10,6,2,2,1,2,1,0,,0,0,0.011,1.17,0.01%,1.09,-0.5,4/6/2024
"Ryan Helsley, S (3)",St. Louis Cardinals,1,1,0,0,0,0,0,3.60,4,6,5,4,1,0,3,1,0,0,,0,0,0.077,1.06,0.04%,0.99,0.5,4/6/2024
St. Louis Cardinals Totals,St. Louis Cardinals,9,8,1,1,1,5,0,1.00,34,140,98,65,15,18,15,13,3,0,61,0,0,0.467,1.15,0.26%,1.07,3.7,4/6/2024
"Kyle Gibson, L (1-1)",St. Louis Cardinals,6,7,7,7,1,5,2,6.23,26,94,56,33,9,14,11,9,3,0,34,,,-0.395,0.39,-0.22%,0.36,-3.9,4/7/2024
Ryan Fernandez,St. Louis Cardinals,1.1,4,3,2,1,1,0,7.71,10,41,25,15,3,7,1,6,6,0,,0,0,-0.007,0.05,-0.00%,0.05,-0.9,4/7/2024
John King,St. Louis Cardinals,1.2,2,0,0,0,2,0,3.86,8,26,21,13,5,3,4,2,1,0,,2,2,-0.002,0.00,-0.00%,0.00,-0.5,4/7/2024
St. Louis Cardinals Totals,St. Louis Cardinals,9,13,10,9,2,8,2,9.00,44,161,102,61,17,24,16,17,10,0,34,2,2,-0.404,0.24,-0.23%,0.23,-5.3,4/7/2024
"Cole Irvin, W (4-1)",Baltimore Orioles,5.2,5,2,2,1,6,1,2.90,23,95,62,32,11,19,6,10,4,0,56,,,0.189,0.88,0.14%,1.05,1.5,5/10/2024
"Albert Suárez, H (1)",Baltimore Orioles,0.1,1,0,0,0,0,0,2.25,2,6,3,2,0,1,0,2,1,0,,2,1,-0.048,2.60,-0.03%,3.12,-0.6,5/10/2024
"Craig Kimbrel, H (3)",Baltimore Orioles,1,0,0,0,0,1,0,4.40,3,12,8,5,1,2,0,2,1,0,,0,0,0.095,1.26,0.07%,1.51,0.5,5/10/2024
"Jacob Webb, H (3)",Baltimore Orioles,0.2,0,0,0,1,0,0,1.59,3,13,6,4,1,1,1,1,0,0,,0,0,0.039,0.97,0.03%,1.16,0.3,5/10/2024
"Cionel Pérez, H (4)",Baltimore Orioles,0.1,0,0,0,0,0,0,3.86,2,6,3,2,0,1,1,0,0,0,,1,0,0.035,1.95,0.03%,2.33,0.2,5/10/2024
"Yennier Cano, S (2)",Baltimore Orioles,1,1,0,0,0,1,0,1.89,4,16,10,5,2,3,3,0,0,0,,0,0,0.072,1.89,0.05%,2.26,0.5,5/10/2024
Baltimore Orioles Totals,Baltimore Orioles,9,7,2,2,2,8,1,2.00,37,148,92,50,15,27,11,15,6,0,56,3,1,0.382,1.18,0.28%,1.41,2.4,5/10/2024
"Christian Scott, L (0-1)",New York Mets,6,6,3,3,2,8,1,2.84,25,91,55,33,14,8,4,11,4,0,54,,,-0.108,0.70,-0.06%,0.61,-0.9,5/11/2024
Sean Reid-Foley,New York Mets,2,0,0,0,0,2,0,0.00,6,23,16,8,5,3,3,1,1,0,,2,0,0.071,0.47,0.04%,0.40,2.0,5/11/2024
Jorge López,New York Mets,1,1,1,1,2,0,0,2.41,7,25,12,10,1,1,1,3,0,0,,0,0,-0.015,0.24,-0.01%,0.21,-0.5,5/11/2024
New York Mets Totals,New York Mets,9,7,4,4,4,10,1,4.00,38,139,83,51,20,12,8,15,5,0,54,2,0,-0.052,0.57,-0.03%,0.49,0.6,5/11/2024
"Kutter Crawford, L (2-2)",Boston Red Sox,6,7,4,4,1,6,0,2.24,26,101,70,46,8,16,4,15,9,0,47,,,-0.066,0.96,-0.04%,0.90,-0.7,5/13/2024
Greg Weissert,Boston Red Sox,2,3,1,1,1,2,0,1.56,9,43,31,18,5,8,4,2,2,0,,0,0,-0.027,0.97,-0.01%,0.91,0.1,5/13/2024
Chase Anderson,Boston Red Sox,1,0,0,0,0,1,0,4.34,3,8,6,4,2,0,0,2,0,0,,0,0,0.020,0.26,0.01%,0.24,0.5,5/13/2024
Boston Red Sox Totals,Boston Red Sox,9,10,5,5,2,9,0,5.00,38,152,107,68,15,24,8,19,11,0,47,0,0,-0.073,0.92,-0.04%,0.86,-0.1,5/13/2024
