Date,Home_Away,Team,1Q,2Q,3Q,4Q,T
2/1/20,Away,UTA,34,19,30,24,107
2/1/20,Home,POR,33,30,31,30,124
11/15/17,Away,PHI,29,29,25,32,115
11/15/17,Home,LAL,26,28,30,25,109
12/27/17,Away,UTA,24,23,22,32,101
12/27/17,Home,GSW,23,25,42,36,126
11/3/21,Away,NOP,26,26,35,12,99
11/3/21,Home,SAC,27,29,36,20,112
4/21/22,Away,DAL,27,41,29,29,126
4/21/22,Home,UTA,20,31,40,27,118
2/7/23,Away,OKC,36,40,28,29,133
2/7/23,Home,LAL,34,32,33,31,130
12/28/23,Away,SAS,38,21,28,31,118
12/28/23,Home,POR,14,31,29,31,105
12/29/23,Away,SAS,29,27,38,34,128
12/29/23,Home,POR,29,42,33,30,134
12/22/23,Away,PHO,30,24,30,21,105
12/22/23,Home,SAC,35,30,38,17,120
1/15/24,Away,SAS,16,18,33,32,99
1/15/24,Home,ATL,35,34,18,22,109
