,Player,Games,X_All_NBA,All_League_List
0,Al Horford,2.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
1,Anthony Davis,1.0,4,"['1st Team: 4', '2nd Team: 0', '3rd Team: 0']"
5,De'Aaron Fox,13.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
6,Devin Booker,2.0,1,"['1st Team: 1', '2nd Team: 0', '3rd Team: 0']"
7,Domantas Sabonis,12.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
8,Donovan Mitchell,3.0,1,"['1st Team: 0', '2nd Team: 1', '3rd Team: 0']"
9,Draymond Green,1.0,2,"['1st Team: 0', '2nd Team: 1', '3rd Team: 1']"
11,Dwyane Wade,1.0,8,"['1st Team: 2', '2nd Team: 3', '3rd Team: 3']"
19,Elton Brand,1.0,1,"['1st Team: 0', '2nd Team: 1', '3rd Team: 0']"
20,Giannis Antetokounmpo,1.0,7,"['1st Team: 5', '2nd Team: 2', '3rd Team: 0']"
27,Ja Morant,1.0,1,"['1st Team: 0', '2nd Team: 1', '3rd Team: 0']"
28,Jaylen Brown,1.0,1,"['1st Team: 0', '2nd Team: 1', '3rd Team: 0']"
29,Jayson Tatum,1.0,3,"['1st Team: 2', '2nd Team: 0', '3rd Team: 1']"
32,Joe Johnson,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
33,Kevin Durant,2.0,10,"['1st Team: 6', '2nd Team: 4', '3rd Team: 0']"
43,Klay Thompson,1.0,2,"['1st Team: 0', '2nd Team: 0', '3rd Team: 2']"
45,LeBron James,2.0,19,"['1st Team: 13', '2nd Team: 3', '3rd Team: 3']"
64,Pascal Siakam,1.0,2,"['1st Team: 0', '2nd Team: 1', '3rd Team: 1']"
66,Paul George,1.0,6,"['1st Team: 1', '2nd Team: 0', '3rd Team: 5']"
72,Rudy Gobert,3.0,4,"['1st Team: 0', '2nd Team: 1', '3rd Team: 3']"
76,Russell Westbrook,1.0,9,"['1st Team: 2', '2nd Team: 5', '3rd Team: 2']"
85,Shai Gilgeous-Alexander,3.0,1,"['1st Team: 1', '2nd Team: 0', '3rd Team: 0']"
86,Steve Nash,1.0,7,"['1st Team: 3', '2nd Team: 2', '3rd Team: 2']"
93,Trae Young,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
94,Tyson Chandler,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
95,Victor Oladipo,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
96,Vince Carter,2.0,2,"['1st Team: 0', '2nd Team: 1', '3rd Team: 1']"
98,Zach Randolph,1.0,1,"['1st Team: 0', '2nd Team: 0', '3rd Team: 1']"
