,Date,Home_Away,Team,1Q,2Q,3Q,4Q,T,1OT,Decision
0,2/11/2014,Away,UTA,16,32,20,28,96,,W
1,2/11/2014,Home,LAL,27,10,23,19,79,,L
2,1/2/2015,Away,ATL,31,26,25,16,98,,W
3,1/2/2015,Home,UTA,21,24,23,24,92,,L
4,4/3/2016,Away,MEM,30,26,29,22,107,,L
5,4/3/2016,Home,ORL,29,38,30,22,119,,W
6,12/27/2017,Away,UTA,24,23,22,32,101,,L
7,12/27/2017,Home,GSW,23,25,42,36,126,,W
8,11/17/2018,Away,LAL,31,22,28,36,117,,L
9,11/17/2018,Home,ORL,25,37,38,30,130,,W
10,11/18/2018,Away,NYK,31,35,26,25,117,,L
11,11/18/2018,Home,ORL,44,23,31,33,131,,W
12,12/2/2018,Away,UTA,35,20,22,23,100,,L
13,12/2/2018,Home,MIA,27,26,27,22,102,,W
14,11/8/2019,Away,SAC,31,32,28,30,121,,W
15,11/8/2019,Home,ATL,24,23,36,26,109,,L
16,11/3/2021,Away,NOP,26,26,35,12,99,,L
17,11/3/2021,Home,SAC,27,29,36,20,112,,W
18,11/7/2021,Away,IND,27,21,26,20,94,,W
19,11/7/2021,Home,SAC,19,24,24,24,91,,L
20,11/19/2021,Away,TOR,30,33,33,12,108,,W
21,11/19/2021,Home,SAC,27,18,21,23,89,,L
22,11/20/2021,Away,UTA,29,25,30,39,123,,W
23,11/20/2021,Home,SAC,28,21,31,25,105,,L
24,12/19/2021,Away,SAS,27,29,29,29,114,,L
25,12/19/2021,Home,SAC,37,26,28,30,121,,W
26,1/14/2022,Away,HOU,40,20,29,25,114,,L
27,1/14/2022,Home,SAC,31,34,33,28,126,,W
28,3/18/2022,Away,BOS,32,35,25,34,126,,W
29,3/18/2022,Home,SAC,26,22,31,18,97,,L
30,3/20/2022,Away,PHO,22,27,34,27,127,17.0,W
31,3/20/2022,Home,SAC,26,33,28,23,124,14.0,L
32,3/30/2022,Away,NOP,32,19,34,32,117,,W
33,3/30/2022,Home,POR,36,18,28,25,107,,L
34,10/22/2022,Away,LAC,29,23,34,25,111,,W
35,10/22/2022,Home,SAC,26,29,25,29,109,,L
36,10/27/2022,Away,MEM,32,31,31,31,125,,W
37,10/27/2022,Home,SAC,28,28,27,27,110,,L
38,12/19/2022,Away,CHO,39,27,25,34,125,,W
39,12/19/2022,Home,SAC,30,33,29,27,119,,L
40,1/20/2023,Away,OKC,32,34,22,25,113,,L
41,1/20/2023,Home,SAC,33,26,32,27,118,,W
42,1/21/2023,Away,PHI,27,37,38,27,129,,W
43,1/21/2023,Home,SAC,35,39,22,31,127,,L
44,2/7/23,Away,OKC,36,40,28,29,133,,W
45,2/7/23,Home,LAL,34,32,33,31,130,,L
46,3/13/2023,Away,MIL,27,26,37,43,133,,W
47,3/13/2023,Home,SAC,32,30,25,37,124,,L
48,3/25/2023,Away,UTA,26,35,17,35,113,,L
49,3/25/2023,Home,SAC,32,23,35,31,121,,W
50,11/10/2023,Away,OKC,20,22,28,28,98,,L
51,11/10/2023,Home,SAC,34,19,22,30,105,,W
52,12/22/2023,Away,PHO,30,24,30,21,105,,L
53,12/22/2023,Home,SAC,35,30,38,17,120,,W
